PaintingID,Title,HeightInches,WidthInches,ImageBaseName
491,"Two Blobs In Blizzard",9,12,"2blobsinblizzard"
492,"Cherry Jazz",30,22,"cherryjazz"
493,"Blueberry Jazz",30,22,"blueberryjazz"
494,"Lemon Trumpet",16,26,"lemontrumpet"
495,"Trumpet Swirl",30,22,"trumpetswirl"
496,"Kiwi Jazz",41,33,"kiwijazz"
497,"Grape Jazz",24,19,"grapejazz"
498,"Magic Cloudy Day",19,24,"magiccloudyday"
499,"Magic City Night",22,30,"magiccitynight"
500,"Magic City Midnight",19,24,"magiccitymidnite"
501,"First City Night",20,16,"firstcitynight"
502,"Pink City",30,22,"pinkcity"
503,"Blue Raspberry Jazz",24,19,"bluerasberryjazz"
504,"Kiwi Jazz 2",24,19,"kiwijazz2"
505,"Money Jazz",9,12,"moneyjazz"
506,"Little Lemon Jazz",16,26,"sunnydayjazz"
507,"Fender Bender",15,30,"fenderbender"
508,"Fender Bender 2",15,30,"fenderbender2"
509,"Banana Jazz",32,16,"bananajazz"
510,"Magic Fishing Night",36,35,"magicfishingnight"
511,"Strawberry City",56,15,"strawberrycity"
512,"Fender Bender Tall City",56,16,"fenderbendertallcity"
513,"Fender Bender Blueberry",18,30,"fenderbenderblueberry"
514,"Cutie Pie",25,20,"cutiepie"
515,"Fender Bender Blackberry",33,27,"fenderbenderblackberry"
516,"Soap Land",17,14,"soapland"
517,"Old Boston",15,32,"oldboston"
518,"Fender Bender Mixed Fruit",15,30,"fenderbendermixedfruit"
519,"Untouchable Chief",44,13,"untouchablechief"
520,"Big City Dreams Burn Down",36,16,"bigcitydreamsburndown"
521,"First Fender Bender",18,30,"firstfenderbender"
522,"Japanese Mementos",27,22,"japanesemementos"
523,"Snowy Day",34,15,"snowyday"
524,"Flight From Japan",12,9,"flightfromjapan"
525,"Fishing For Salmon",15,12,"fishingforsalmon"
526,"Green Tea Christmas",14,14,"greenteachristmas"
527,"Fast Food Indian",12,9,"fastfoodindian"
528,"Tapeo",12,9,"tapeo"
529,"Flight From Hong Kong",9,12,"flightfromhongkong"
530,"Gumball Flight",18,14,"gumballflight"
531,"Pink Flight",18,14,"pinkflight"
532,"Scissor Hands",12,9,"scissorhands"
533,"Monsieur Jack",12,9,"monsieurjack"
534,"Lemon Sunday",54,32,"lemonsunday"
535,"Playoffs Game 3",36,30,"playoffsgame3"
536,"Circle Sakana",16,16,"circlesakana"
537,"Sugar Heaven Big Dig",15,40,"sugarheavenbigdig"
538,"Sugar Heaven City",16,33,"sugarheavencity"
539,"Big Dig Berries",55,22,"bigdigberriesperfect"
540,"Fender Bender Fire Chief",40,32,"fenderbenderfirechief"
541,"Fire Truck Destination Eschaton",14,36,"firetruckdestinatione"
542,"Pollution Bus #66",8,30,"pollutionbus66"
543,"NoHo Bus Baby",10,40,"nohobusbaby"
544,"Crimestoppers",10,24,"crimestoppers"
545,"Truck Culture",10,24,"truckculture"
546,"Fender Bender Miami's Finest",33,27,"fenderbendermiamisfinest"
547,"Lite Brite Fender Bender",11,15,"litebrightfenderbender"
548,"Ticket Quota",33,20,"ticketquota"
549,"Big Dig At Nite",56,40,"bigdigsparkeles"
550,"Celebration City",20,16,"celebrationcity"
551,"Lemon Big Dig",21,21,"lemonbigdig"
552,"Blueberry Big Dig",21,21,"blueberrybigdig"
553,"Kava Commute",10,30,"kavacommute"
554,"Decay",16,20,"decay"
555,"No Ordinary Morning",18,26,"noordinarymorning"
556,"Pinch",26,16,"nighttimeride"
557,"Three Day Visit",25,24,"thegoldenpath"
558,"Arch",16,20,"arch"
559,"Milk",14,14,"rack"
560,"Blue City Shelter",24,16,"bluecityshelter"
561,"This Picture",12,14,"thispicture"
562,"Paxil Pots Pans",26,16,"paxilpots_pans"
563,"Cocoa Head",20,16,"cocoahead"
564,"Frosty",12,9,"frosty"
565,"Rodeo Jones: Dreamers",56,16,"rodeojonesdreamers"
566,"Rodeo Jones: Superstars",56,26,"rodeojonessuperstars"
567,"Rodeo Jones: Here To Stay",48,13,"rodeojonesheretostay"
568,"Good Truck",9,16,"goodtruck"
569,"Bumper Blizzard",10,24,"bumperblizzard"
570,"School Ya",8,24,"schoolya"
